Label,Brix,pH,moisture,Pheno,Tit Acid
0,12.55,4.37,85.06,0.87,0.28
0,12.90,3.91,89.24,0.67,0.45
0,11.70,4.13,86.85,0.73,0.30
0,11.95,4.04,87.26,0.75,0.37
0,11.45,4.03,86.82,0.74,0.37
0,11.75,3.99,86.90,0.79,0.34
0,12.80,3.75,86.81,0.82,0.47
0,11.05,4.15,86.89,0.65,0.29
0,10.75,4.07,81.59,0.57,0.32
0,11.90,3.74,81.59,0.75,0.45
0,12.15,3.66,80.52,0.64,0.41
0,12.55,4.00,79.88,0.61,0.31
0,11.90,3.83,81.77,0.78,0.39
0,12.15,3.75,78.61,0.58,0.42
0,11.50,3.73,81.95,0.77,0.39
0,12.95,3.62,85.24,0.69,0.44
0,11.55,3.78,86.86,0.79,0.41
0,12.65,3.85,86.15,0.64,0.36
0,11.00,3.99,87.24,0.71,0.34
0,11.45,4.04,87.91,0.75,0.34
0,11.55,4.14,87.45,0.71,0.34
0,11.20,4.13,86.63,0.73,0.35
0,12.25,4.24,87.74,0.66,0.26
0,12.10,4.30,87.26,0.54,0.24
0,11.65,4.23,86.43,0.62,0.27
0,11.75,3.98,86.09,0.64,0.33
0,11.70,4.06,86.18,0.61,0.32
0,10.65,3.75,88.40,0.69,0.46
0,10.10,3.81,87.91,0.73,0.40
0,10.45,4.04,87.61,0.75,0.32
7,8.95,4.70,89.78,0.68,0.20
7,9.40,4.50,89.70,0.69,0.22
7,10.05,4.45,89.06,0.75,0.24
7,11.30,4.32,85.74,0.66,0.23
7,12.30,4.33,85.98,0.71,0.25
7,12.45,4.40,87.56,0.73,0.19
7,10.10,4.34,86.99,0.74,0.20
7,11.00,4.45,87.91,0.77,0.20
7,12.60,4.70,88.57,0.72,0.20
7,11.05,4.79,88.50,0.79,0.17
7,11.65,4.51,87.51,0.86,0.25
7,9.75,4.73,86.86,0.70,0.20
7,10.40,4.58,86.77,0.84,0.22
7,11.90,4.51,86.50,0.79,0.21
7,9.50,4.78,90.32,0.77,0.19
7,12.55,4.10,85.57,0.67,0.26
7,10.10,4.34,88.26,0.76,0.20
7,13.05,4.34,86.55,0.64,0.19
7,10.60,4.01,88.32,0.63,0.28
7,10.05,4.28,92.65,0.70,0.23
7,12.90,4.27,85.73,0.76,0.25
7,11.90,4.28,87.24,0.72,0.22
7,10.00,3.88,87.95,0.69,0.32
7,9.85,4.58,89.03,0.77,0.15
7,12.80,4.52,85.47,0.75,0.18
7,12.30,4.65,86.40,0.76,0.19
7,13.20,4.54,85.45,0.75,0.22
7,12.90,4.49,85.60,0.74,0.22
7,11.10,4.48,76.51,0.80,0.22
7,13.10,4.37,84.16,0.66,0.23
14,12.65,4.94,86.88,0.80,0.15
14,10.60,5.04,88.68,0.83,0.15
14,9.85,5.12,89.64,0.81,0.16
14,11.15,5.01,88.88,0.78,0.13
14,11.10,4.99,88.57,0.75,0.16
14,11.40,4.90,89.27,0.75,0.15
14,10.20,5.25,89.15,0.83,0.13
14,10.25,4.97,88.16,0.77,0.17
14,9.75,5.27,88.63,0.80,0.13
14,11.55,5.16,87.43,0.84,0.13
14,10.55,5.24,89.10,0.80,0.15
14,8.95,5.17,90.01,0.80,0.14
14,11.55,5.18,88.76,0.86,0.15
14,11.75,5.08,88.65,0.65,0.15
14,12.20,4.91,88.85,0.72,0.17
14,10.20,5.25,87.78,0.83,0.13
14,8.45,5.25,85.67,0.75,0.13
14,9.80,5.38,84.96,0.83,0.11
14,13.45,4.92,87.51,0.59,0.17
14,10.05,5.33,88.72,0.79,0.12
14,10.55,5.40,85.05,0.83,0.12
14,8.85,5.48,86.60,0.88,0.13
14,9.55,5.23,84.74,0.87,0.14
14,10.10,5.28,83.76,0.79,0.13
14,10.75,5.60,83.91,0.83,0.12
14,12.95,4.97,85.92,0.71,0.17
14,10.45,5.01,86.98,0.72,0.17
14,11.55,4.92,85.25,0.66,0.17
14,9.30,5.30,88.60,0.75,0.14
14,11.15,4.97,85.90,0.69,0.17
14,10.30,5.13,87.50,0.74,0.15
14,14.70,4.94,84.09,0.63,0.17
14,11.25,5.02,85.74,0.66,0.18
14,13.15,4.77,78.99,0.65,0.20
14,10.65,5.12,82.19,0.73,0.15
14,8.95,5.39,83.69,0.73,0.15
14,11.45,4.93,81.34,0.62,0.17
14,13.25,5.08,78.93,0.63,0.16
14,11.95,5.07,80.59,0.65,0.15
14,10.40,5.35,82.86,0.75,0.13
21,11.30,5.17,86.78,0.79,0.15
21,11.40,5.16,87.42,0.77,0.15
21,12.05,5.01,87.83,0.71,0.14
21,12.45,5.02,85.16,0.84,0.14
21,10.75,5.05,88.41,0.82,0.13
21,11.00,5.07,86.69,0.80,0.13
21,11.50,5.02,84.39,0.68,0.15
21,11.00,4.91,87.58,0.82,0.14
21,11.10,5.07,86.88,0.82,0.14
21,10.90,5.02,87.56,0.74,0.15
21,11.50,4.86,86.18,0.75,0.17
21,11.60,4.96,85.97,0.74,0.18
21,10.50,5.00,87.06,0.73,0.14
21,12.45,4.94,84.51,0.64,0.17
21,11.22,4.92,70.48,0.80,0.19
21,9.90,5.16,88.42,0.66,0.17
21,10.75,5.12,84.52,0.79,0.18
21,9.25,5.37,89.60,0.77,0.13
21,10.25,5.02,87.36,0.71,0.14
21,10.80,5.10,87.50,0.69,0.14
25,12.75,5.24,85.40,0.55,0.12
25,12.80,5.18,86.42,0.49,0.12
25,10.65,5.30,87.18,0.65,0.11
25,10.60,5.38,87.66,0.61,0.09
25,8.85,5.50,90.42,0.63,0.09
25,10.05,5.40,88.07,0.67,0.11
25,8.80,5.53,91.27,0.68,0.14
25,9.60,5.57,85.60,0.57,0.09
25,11.35,5.17,84.15,0.70,0.13
25,8.50,5.55,83.40,0.54,0.09
25,11.20,5.30,85.02,0.71,0.09
25,10.50,5.37,86.15,0.62,0.11
25,10.65,5.28,86.78,0.62,0.10
25,8.80,5.40,88.14,0.71,0.09
25,11.05,5.42,86.39,0.56,0.10
25,11.55,5.34,85.67,0.53,0.10
25,11.55,5.20,86.56,0.65,0.11
25,9.20,5.44,89.69,0.70,0.10
25,11.05,5.33,86.80,0.52,0.10
25,11.20,5.18,86.39,0.58,0.11
